"id","portail_id","portail_libelle","role","organisation","module_id","module_code","module_libelle","routes","donnees_visibles","theme","responsable_propose","sources","nb_routes_candidates","niveau_preuve","statut","test_ui","baseline","version_source","limite"
"PM-admin-administration","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-administration","administration","Administration","/access/audit | /access/portals | /access/roles | /admin/audit | /admin/messagerie | /admin/messagerie/:uid | /admin/messagerie/nouveau | /admin/modules | /admin/permissions | /admin/settings | /users | /users/:userId | /users/edit | /users/new","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot administration et IAM","src/PrivateApp.tsx:1013 | src/PrivateApp.tsx:1022 | src/PrivateApp.tsx:1031 | src/PrivateApp.tsx:1040 | src/PrivateApp.tsx:1067 | src/PrivateApp.tsx:1076 | src/PrivateApp.tsx:1077 | src/PrivateApp.tsx:1078 | src/PrivateApp.tsx:1098 | src/PrivateApp.tsx:1188 | src/PrivateApp.tsx:1203 | src/PrivateApp.tsx:1212 | src/PrivateApp.tsx:1221 | src/PrivateApp.tsx:1230 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","14","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-analytics","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-analytics","analytics","Performance nationale","/analytics | /analytics/national","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot analytics","src/PrivateApp.tsx:1590 | src/PrivateApp.tsx:1599 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","2","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-artisan_gold_market","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-artisan_gold_market","artisan_gold_market","Marché d’or artisanal","/artisan-minier/paiements | /artisan-minier/paiements/:venteId/nouveau | /artisan-minier/paiements/historique | /artisan-minier/paiements/historique/:paiementId | /artisan-minier/rapports | /artisan-minier/rapports/chiffre-affaires | /artisan-minier/rapports/quantites | /artisan-minier/rapports/taxes | /artisan-minier/ventes-or | /artisan-minier/ventes-or/:id | /artisan-minier/ventes-or/:id/facture | /artisan-minier/ventes-or/:id/modifier | /artisan-minier/ventes-or/nouvelle | /collecte/ventes | /collecte/ventes/nouvelle","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot marché artisanal et paiements","src/PrivateApp.tsx:330 | src/PrivateApp.tsx:331 | src/PrivateApp.tsx:492 | src/PrivateApp.tsx:501 | src/PrivateApp.tsx:510 | src/PrivateApp.tsx:519 | src/PrivateApp.tsx:528 | src/PrivateApp.tsx:537 | src/PrivateApp.tsx:546 | src/PrivateApp.tsx:555 | src/PrivateApp.tsx:564 | src/PrivateApp.tsx:591 | src/PrivateApp.tsx:600 | src/PrivateApp.tsx:609 | src/PrivateApp.tsx:618 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","15","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-artisan-minier","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-artisan-minier","artisan-minier","Artisans miniers","/artisan-minier | /artisan-minier/:artisanId/infractions/:infractionId | /artisan-minier/:artisanId/infractions/:infractionId/modifier | /artisan-minier/:artisanId/infractions/nouvelle | /artisan-minier/:id | /artisan-minier/:id/edit | /artisan-minier/cartes/expirations | /artisan-minier/cartes/suivi | /artisan-minier/cartes/validation | /artisan-minier/collecteurs | /artisan-minier/collecteurs/:id | /artisan-minier/collecteurs/:id/modifier | /artisan-minier/collecteurs/nouveau | /artisan-minier/comptoirs | /artisan-minier/comptoirs/:id | /artisan-minier/comptoirs/:id/modifier | /artisan-minier/comptoirs/nouveau | /artisan-minier/liste","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot artisans et affiliations","src/PrivateApp.tsx:322 | src/PrivateApp.tsx:323 | src/PrivateApp.tsx:324 | src/PrivateApp.tsx:325 | src/PrivateApp.tsx:326 | src/PrivateApp.tsx:327 | src/PrivateApp.tsx:328 | src/PrivateApp.tsx:329 | src/PrivateApp.tsx:429 | src/PrivateApp.tsx:438 | src/PrivateApp.tsx:447 | src/PrivateApp.tsx:456 | src/PrivateApp.tsx:465 | src/PrivateApp.tsx:474 | src/PrivateApp.tsx:483 | src/PrivateApp.tsx:573 | src/PrivateApp.tsx:582 | src/PrivateApp.tsx:627 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","18","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-conciliation","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-conciliation","conciliation","Conciliation","/conciliation | /conciliation/:id | /conciliation/regles-fiscales","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot conciliation","src/PrivateApp.tsx:840 | src/PrivateApp.tsx:851 | src/PrivateApp.tsx:862 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-dashboard","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-dashboard","dashboard","Tableau de bord","/dashboard | /dashboard/airport | /dashboard/customer | /dashboard/factory | /dashboard/management | /dashboard/production-modern | /dashboard/refinery","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot pilotage national","src/PrivateApp.tsx:1797 | src/PrivateApp.tsx:1806 | src/PrivateApp.tsx:1815 | src/PrivateApp.tsx:1824 | src/PrivateApp.tsx:1833 | src/PrivateApp.tsx:411 | src/PrivateApp.tsx:420 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","7","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-documents","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-documents","documents","Documents","/documents/assay-certificates","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot documents","src/PrivateApp.tsx:1374 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","1","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-gold_inventory","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-gold_inventory","gold_inventory","Suivi des stocks","/inventory | /inventory/add | /inventory/silver","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot stocks","src/PrivateApp.tsx:1383 | src/PrivateApp.tsx:636 | src/PrivateApp.tsx:645 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-gold_purchases","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-gold_purchases","gold_purchases","Achats d’or","/achats/comptes | /achats/comptes-paiements | /achats/demandes | /achats/plans | /achats/plans/:id | /achats/reglements | /achats/reglements/nouveau | /contrats | /contrats/:id | /contrats/:id/modifier | /contrats/nouveau | /contrats/pilotage | /requisitions | /requisitions/:id | /requisitions/:id/modifier | /requisitions/nouvelle","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot achats et contrats","src/PrivateApp.tsx:793 | src/PrivateApp.tsx:797 | src/PrivateApp.tsx:801 | src/PrivateApp.tsx:805 | src/PrivateApp.tsx:816 | src/PrivateApp.tsx:827 | src/PrivateApp.tsx:831 | src/PrivateApp.tsx:873 | src/PrivateApp.tsx:884 | src/PrivateApp.tsx:895 | src/PrivateApp.tsx:906 | src/PrivateApp.tsx:917 | src/PrivateApp.tsx:929 | src/PrivateApp.tsx:940 | src/PrivateApp.tsx:951 | src/PrivateApp.tsx:962 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","16","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-international_markets","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-international_markets","international_markets","Marchés internationaux","/fx-rates | /gold-prices | /sales/simulations | /sales/simulator | /sales/trade-space","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot international_markets","src/PrivateApp.tsx:1239 | src/PrivateApp.tsx:1248 | src/PrivateApp.tsx:1451 | src/PrivateApp.tsx:1460 | src/PrivateApp.tsx:1469 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","5","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
