"criterion_id","domain","domain_weight","screen","context","criterion","requirement_source","scope_state","test_status","evidence_ids","audit_decision"
"CLI-FONC-01","FONC","30","LST","À instancier selon matrice 04","Entrée réelle depuis le menu Clients puis ouverture du formulaire de création","§8.2","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-02","FONC","30","FORM","À instancier selon matrice 04","Saisie de tous les champs et enregistrement UI d’un client avec deux banques","§8.3–8.4","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-03","FONC","30","DETAIL","À instancier selon matrice 04","Ouverture du même client depuis la confirmation ou la liste","§8.6","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-04","FONC","30","DETAIL","À instancier selon matrice 04","Rechargement puis réouverture directe de la fiche créée","§8.7; §11","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-05","FONC","30","LST","À instancier selon matrice 04","Recherche retrouve la ligne créée et ses valeurs exactes","§8.8","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-06","FONC","30","FORM","À instancier selon matrice 04","Modification UI d’un champ client puis sauvegarde et retour au détail","§8.9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-07","FONC","30","BANK","À instancier selon matrice 04","Ajout UI d’une banque avec pays de référentiel et compte complet","§7; §9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-08","FONC","30","BANK","À instancier selon matrice 04","Saisie continue du nom de banque Autre au-delà du premier caractère","§7; §9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-09","FONC","30","BANK","À instancier selon matrice 04","Choix du compte principal actualise le compte concerné sans modifier les autres champs","§7; §9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-10","FONC","30","BANK","À instancier selon matrice 04","Retrait autorisé d’une banque non référencée donne un résultat persistant cohérent","§7; §9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-11","FONC","30","BANK","À instancier selon matrice 04","Retrait ou modification d’une banque référencée respecte les règles existantes sans perdre sa référence","§7; §15","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-12","FONC","30","FORM","À instancier selon matrice 04","Rejet de chacun des champs requis absent avec message associé au bon contrôle","§7; §9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-13","FONC","30","FORM","À instancier selon matrice 04","Adresse électronique invalide rejetée selon la règle existante","§9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-14","FONC","30","FORM","À instancier selon matrice 04","Limite de crédit négative ou non numérique rejetée","§9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-15","FONC","30","BANK","À instancier selon matrice 04","Chaque champ bancaire requis absent empêche l’enregistrement sans banque silencieusement omise","§9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-16","FONC","30","FORM","À instancier selon matrice 04","Annulation respecte le retour prévu et ne crée ni ne modifie de donnée","§9; §10","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-17","FONC","30","FORM","À instancier selon matrice 04","Double activation de la soumission n’engendre pas deux créations ou deux écritures concurrentes","§9; §10","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-18","FONC","30","FORM","À instancier selon matrice 04","Erreur serveur ou réseau conserve les champs saisis et permet une reprise explicite","§9; §10","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-19","FONC","30","FORM","À instancier selon matrice 04","Erreur de chargement des banques ne transforme pas le dossier en zéro banque sauvegardable","§7; §9","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-20","FONC","30","LST","À instancier selon matrice 04","Combinaison recherche pays et statut donne le sous-ensemble attendu","§12","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-21","FONC","30","LST","À instancier selon matrice 04","Valeurs et compteurs se rafraîchissent après création et modification sans reload manuel","§12","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-22","FONC","30","DETAIL","À instancier selon matrice 04","Historique et graphique reposent sur les vraies ventes du client et aucun exemple constant","§2.6; §11; §15","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-23","FONC","30","DETAIL","À instancier selon matrice 04","Lien d’une vente mène au vrai identifiant et conserve les permissions de la vente","§11; §14","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
"CLI-FONC-24","FONC","30","DETAIL","À instancier selon matrice 04","Action Consulter les paiements ouvre le parcours réel attendu du client","§2.4; §11","À FIGER","NON EXÉCUTÉ","","NON AUDITÉ"
