"id","objet_id","portail","module","route","scenario","niveau_preuve","statut","blocage","preuve","responsable"
"REC-ACT-00250794764e","ACT-00250794764e","CONSOMMATEUR_NON_RESOLU","TRANSVERSE_OU_ORPHELIN_A_QUALIFIER","","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot partagé : propriétaire à affecter par orchestrateur"
"REC-ACT-00f9f19098c0","ACT-00f9f19098c0","admin | dgmg | owner | sonasp","mining_sites","/artisan-sites","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot sites artisanaux"
"REC-ACT-01337945ce2e","ACT-01337945ce2e","admin | customer | mine | owner | sonasp","sales","/payments/virtual","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot ventes internationales et paiements"
"REC-ACT-01b289f2161c","ACT-01b289f2161c","admin | dgmg | owner","artisan-minier","/artisan-minier/comptoirs/:id | /artisan-minier/comptoirs/:id/modifier | /artisan-minier/comptoirs/nouveau","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot artisans et affiliations"
"REC-ACT-01b9cb0fa964","ACT-01b9cb0fa964","admin | mine | owner | sonasp","gold_purchases","/contrats/:id | /requisitions/:id","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot achats et contrats"
"REC-ACT-01f0c35705d1","ACT-01f0c35705d1","admin | airport | customer | factory | mine | owner | refinery | sonasp","international_markets","/fx-rates","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot international_markets"
"REC-ACT-021cd5282c15","ACT-021cd5282c15","admin | owner | sonasp","dashboard","/dashboard/production-modern","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot pilotage national"
"REC-ACT-02341978b860","ACT-02341978b860","admin | collector | comptoir | dgi | owner | sonasp","artisan_gold_market","/artisan-minier/ventes-or","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot marché artisanal et paiements"
"REC-ACT-026812b80f5d","ACT-026812b80f5d","CONSOMMATEUR_NON_RESOLU","TRANSVERSE_OU_ORPHELIN_A_QUALIFIER","","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot partagé : propriétaire à affecter par orchestrateur"
"REC-ACT-0284dac59b0c","ACT-0284dac59b0c","admin | mine | owner | sonasp","gold_purchases","/achats/comptes | /achats/comptes-paiements | /achats/demandes | /achats/reglements","Qualifier puis exécuter dans les contextes applicables ; variantes et champs à instancier après revue","UI_AUTH_API_DB","NON EXÉCUTÉ","Qualification détaillée et environnement isolé requis","","Lot achats et contrats"
