"id","lot","anomalie","iteration","etat","preuve_technique","reste_a_verifier"
"CLI-01","Clients internationaux","Crédit zéro remplacé à la réouverture","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-02","Clients internationaux","Lecture des banques ignorée en erreur","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-03","Clients internationaux","Sauvegarde client et banques non atomique","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-04","Clients internationaux","Identifiants bancaires remplacés et FK cassées","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-05","Clients internationaux","Saisie banque libre disparaît","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-06","Clients internationaux","Mutation des objets bancaires reçus","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-07","Clients internationaux","Transactions et courbes fictives","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-08","Clients internationaux","Indicateurs et tendances sans source","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-09","Clients internationaux","Erreurs masquées par listes vides ou zéro","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
"CLI-10","Clients internationaux","Champs et banques absents du détail","1 → revue indépendante → 2","CORRECTION CANDIDATE ; NON VALIDÉE EN RECETTE","audit/REVUE_FRONTEND_CLIENTS.md | audit/REVUE_BACKEND_CLIENTS.md","Chaîne UI → base → relecture, contexte réel et audit final"
