"ancien_id","ancien_scenario","ids_canoniques_plan_detaille","decision"
"UI-CLI-01","Connexion MFA et périmètres","CLI-UI-001 | CLI-UI-010","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-02","Création complète client et deux banques","CLI-UI-001","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-03","Relecture DB puis détail du même ID","CLI-UI-001 | CLI-UI-009","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-04","Rechargement et présence liste","CLI-UI-001 | CLI-UI-006","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-05","Modification des 18 champs et relecture","CLI-UI-002","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-06","Banque hors catalogue et zéro crédit","CLI-UI-002 | CLI-UI-005","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-07","Banque retirée avec paiement historique","CLI-UI-007","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-08","Validation négative et correction","CLI-UI-003 | CLI-UI-004","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-09","Double clic et reprise après perte réseau","CLI-UI-008","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-10","Droits réels et contexte organisations A/B","CLI-UI-010","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-11","Navigation filtres pagination retour","CLI-UI-006","Conserve comme correspondance historique ; aucune preuve executee transferee"
"UI-CLI-12","Nettoyage contrôlé du run","CLI-UI-012","Conserve comme correspondance historique ; aucune preuve executee transferee"
"AJOUT_EXPLICITE","Design du parcours execute","CLI-UI-011","Critere deja requis par le prompt et le plan detaille, absent du sommaire initial05"
